Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
371020,Reykjanes,12484,Confirmed Eruption,Thrainskjöldur,0,,?,-8000,,0,,0,,Tephrochronology,,,,,,,,63.817,-22.717
372010,Vestmannaeyjar,12549,Confirmed Eruption,NW Heimaey (Háin tuff ring),4,,?,-8050,,0,,0,,Tephrochronology,,,,,,,,63.416,-20.266
371050,Hengill,12518,Confirmed Eruption,Hafnarhraun,0,,?,-8200,,0,,0,,Tephrochronology,,,,,,,,64.083,-21.416
373010,Grimsvotn,12755,Confirmed Eruption,,6,,,-8230,50,0,,0,,Radiocarbon (corrected),,,,,,,,64.416,-17.316
371050,Hengill,12517,Confirmed Eruption,Thingvallahraun,0,,?,-8250,,0,,0,,Radiocarbon (corrected),,,,,,,,64.083,-21.416
371050,Hengill,12516,Confirmed Eruption,SSW of Hengill (Hellisheid-A),0,,?,-8350,,0,,0,,Radiocarbon (corrected),,,,,,,,64.083,-21.416
370010,Snaefellsjokull,12469,Confirmed Eruption,,,,,-8460,200,0,,0,,Radiocarbon (corrected),,,,,,,,64.8,-23.783
371030,Krysuvik-Trolladyngja,19919,Confirmed Eruption,Hagafell,0,,?,-8500,,0,,0,,Tephrochronology,,,,,,,,63.917,-22.067
373080,Krafla,12923,Confirmed Eruption,Gjastykkisbunga,0,,?,-8500,,0,,0,,Tephrochronology,,,,,,,,65.715,-16.728
371080,Oddnyjarhnjukur-Langjokull,12543,Confirmed Eruption,Leggjarbrjotur,0,,?,-8600,,0,,0,,Tephrochronology,,,,,,,,64.85,-19.7
373060,Askja,12904,Confirmed Eruption,SE part of Askja caldera,5,,,-8910,200,0,,0,,Radiocarbon (corrected),,,,,,,,65.033,-16.783
